ID,Submission ID,Title,Metric Type,File Type,Month,Count
1,9022,A Community Model for Rigorous and Inclusive Scholarship,abstract,,2025-10,459
2,9022,A Community Model for Rigorous and Inclusive Scholarship,abstract,,2025-11,134
3,9022,A Community Model for Rigorous and Inclusive Scholarship,abstract,,2025-12,76
4,9022,A Community Model for Rigorous and Inclusive Scholarship,abstract,,2026-01,146
5,9022,A Community Model for Rigorous and Inclusive Scholarship,abstract,,2026-02,323
6,9022,A Community Model for Rigorous and Inclusive Scholarship,abstract,,2026-03,135
7,9022,A Community Model for Rigorous and Inclusive Scholarship,abstract,,2026-04,107
8,9022,A Community Model for Rigorous and Inclusive Scholarship,abstract,,2026-05,66
9,9022,A Community Model for Rigorous and Inclusive Scholarship,abstract,,2026-06,40
10,9022,A Community Model for Rigorous and Inclusive Scholarship,abstract,,2026-07,2
11,9022,A Community Model for Rigorous and Inclusive Scholarship,galley,PDF,2025-10,159
12,9022,A Community Model for Rigorous and Inclusive Scholarship,galley,PDF,2025-11,83
13,9022,A Community Model for Rigorous and Inclusive Scholarship,galley,PDF,2025-12,48
14,9022,A Community Model for Rigorous and Inclusive Scholarship,galley,PDF,2026-01,52
15,9022,A Community Model for Rigorous and Inclusive Scholarship,galley,PDF,2026-02,91
16,9022,A Community Model for Rigorous and Inclusive Scholarship,galley,PDF,2026-03,59
17,9022,A Community Model for Rigorous and Inclusive Scholarship,galley,PDF,2026-04,85
18,9022,A Community Model for Rigorous and Inclusive Scholarship,galley,PDF,2026-05,41
19,9022,A Community Model for Rigorous and Inclusive Scholarship,galley,PDF,2026-06,19
20,9022,A Community Model for Rigorous and Inclusive Scholarship,galley,PDF,2026-07,1
21,9577,From Replication Rates to Replication Evidence,abstract,,2026-04,39
22,9577,From Replication Rates to Replication Evidence,abstract,,2026-05,284
23,9577,From Replication Rates to Replication Evidence,abstract,,2026-06,114
24,9577,From Replication Rates to Replication Evidence,abstract,,2026-07,11
25,9577,From Replication Rates to Replication Evidence,galley,PDF,2026-04,35
26,9577,From Replication Rates to Replication Evidence,galley,PDF,2026-05,150
27,9577,From Replication Rates to Replication Evidence,galley,PDF,2026-06,60
28,9577,From Replication Rates to Replication Evidence,galley,PDF,2026-07,8
